Wall time,Step,Value
1718036705.3843074,0,0.14280927181243896
1718041906.0459812,1,0.1848645657300949
1718047141.9502387,2,0.18095503747463226
1718052387.1884325,3,0.22111141681671143
1718057645.3195033,4,0.23049427568912506
1718062888.981251,5,0.271823525428772
1718068141.1795578,6,0.28411057591438293
1718073377.1327198,7,0.28388717770576477
1718078637.0594137,8,0.2875174582004547
1718083824.024631,9,0.27930745482444763
1718089043.5530572,10,0.32203295826911926
1718094287.9722164,11,0.33683329820632935
1718099603.3982277,12,0.3297961354255676
1718104837.3158712,13,0.3517453372478485
1718110117.9634712,14,0.3507400155067444
1718115436.0033503,15,0.36732757091522217
1718120770.6162307,16,0.36481431126594543
1718126064.2800155,17,0.3690589368343353
