Wall time,Step,Value
1717932152.8325446,0,0.18519966304302216
1717938738.7728493,1,0.25529181957244873
1717945122.0979466,2,0.2626640498638153
1717951206.2631285,3,0.2883552014827728
1717957302.396018,4,0.2755654752254486
1717963371.342422,5,0.3383970856666565
1717969494.2960422,6,0.3388439118862152
1717975587.4306176,7,0.34353533387184143
1717981652.7826698,8,0.35235968232154846
1717987736.6665113,9,0.34297680854797363
1717993828.7244716,10,0.37760400772094727
1717999911.6733696,11,0.39128735661506653
1718005998.069819,12,0.38950014114379883
1718012167.5196342,13,0.40765148401260376
1718018664.4202044,14,0.40134039521217346
1718025305.112159,15,0.42312201857566833
1718031790.4397678,16,0.41999441385269165
1718038258.4026444,17,0.42150238156318665
