Wall time,Step,Value
1717894361.741366,0,0.2074839472770691
1717900786.697139,1,0.24144093692302704
1717907255.07558,2,0.26260820031166077
1717913710.5976725,3,0.2910360097885132
1717920173.3368766,4,0.2931024730205536
1717926398.8853278,5,0.3413013219833374
1717932477.3773308,6,0.3436470329761505
1717938504.7233407,7,0.34878525137901306
1717944516.0316403,8,0.3568277060985565
1717950591.3464255,9,0.3597877621650696
1717956615.2050622,10,0.37497904896736145
1717962699.0457993,11,0.3968723714351654
1717968758.2943895,12,0.38815972208976746
1717974785.7495093,13,0.4007260501384735
1717980816.8214843,14,0.3998883068561554
1717986835.6607366,15,0.4156380891799927
1717992883.8478558,16,0.40804246068000793
1717998916.84209,17,0.41586148738861084
