Wall time,Step,Value
1717766425.163179,0,0.1604021191596985
1717772460.9164853,1,0.21273387968540192
1717778643.639327,2,0.22323372960090637
1717784784.8943868,3,0.2471376657485962
1717790985.4014497,4,0.24657917022705078
1717797071.662139,5,0.28841105103492737
1717803146.613428,6,0.2984641194343567
1717809144.0614917,7,0.3075118660926819
1717815167.3894777,8,0.3137112557888031
1717821186.895284,9,0.30991342663764954
1717827285.8561275,10,0.3430326581001282
1717833323.4493527,11,0.3597877621650696
1717839400.8174946,12,0.3518570363521576
1717845425.883488,13,0.36978498101234436
1717851554.0688667,14,0.372186541557312
1717857642.302225,15,0.3896118402481079
1717863631.3420393,16,0.37967047095298767
1717870163.1224222,17,0.39240434765815735
