Wall time,Step,Value
1717776813.0565438,0,0.2305501252412796
1717782795.5910494,1,0.2739458382129669
1717788719.6634681,2,0.2650097608566284
1717794647.1475863,3,0.3022060990333557
1717800556.0894196,4,0.29650935530662537
1717806494.665036,5,0.3531974256038666
1717812467.5242007,6,0.35107511281967163
1717818402.3384132,7,0.35917341709136963
1717824343.5066469,8,0.36196592450141907
1717830261.2421465,9,0.3583356738090515
1717836216.1345396,10,0.39352136850357056
1717842157.3875937,11,0.40067020058631897
1717848125.5488868,12,0.4020664691925049
1717854058.8413806,13,0.41960346698760986
1717859976.370146,14,0.4144652187824249
1717865962.3746665,15,0.43781065940856934
1717871901.358329,16,0.4261379539966583
1717877850.5900054,17,0.43094107508659363
