Wall time,Step,Value
1718059886.467853,0,0.1383412480354309
1718066260.8158495,1,0.15442614257335663
1718072623.8297408,2,0.17458809912204742
1718078986.6865406,3,0.18927673995494843
1718085367.7648482,4,0.18838313221931458
1718091730.3249388,5,0.2217816263437271
1718098098.2614021,6,0.2284836620092392
1718104454.2433739,7,0.22759005427360535
1718110834.5534606,8,0.23870427906513214
1718117217.2655096,9,0.23473890125751495
1718123461.1375027,10,0.26087686419487
1718129532.5347674,11,0.2761240005493164
1718135582.5205486,12,0.2679139971733093
1718141642.6107175,13,0.28662383556365967
1718147726.6122036,14,0.28204411268234253
1718153935.5669653,15,0.3022060990333557
1718160176.685457,16,0.29500138759613037
1718166437.9162006,17,0.2973470985889435
