Wall time,Step,Value
1718059886.4678419,0,4.0426859855651855
1718066260.8158393,1,3.8258302211761475
1718072623.8297293,2,3.6789426803588867
1718078986.68649,3,3.5944457054138184
1718085367.764837,4,3.559816837310791
1718091730.3249264,5,3.3428659439086914
1718098098.2613912,6,3.2891244888305664
1718104454.2433631,7,3.307976484298706
1718110834.553449,8,3.245803117752075
1718117217.265496,9,3.2796497344970703
1718123461.1374915,10,3.120544910430908
1718129532.5347576,11,3.052905321121216
1718135582.5205367,12,3.072988271713257
1718141642.6107059,13,2.984328031539917
1718147726.612193,14,3.021806240081787
1718153935.5669513,15,2.95219349861145
1718160176.6854458,16,2.9660298824310303
1718166437.9161868,17,2.975358486175537
